word1,word2,count
et,meaulnes,13
du,fond,13
sorte,de,13
un,bruit,13
le,bourg,13
partie,de,13
par,un,13
d,où,13
l,entrée,13
ils,étaient,12
bruit,de,12
une,jeune,12
meaulnes,qui,12
comme,il,12
un,autre,12
je,vis,12
du,jardin,12
pas,à,12
avec,sa,12
le,bras,12
qui,m,12
dès,le,12
nous,sommes,12
pour,nous,12
du,côté,12
du,soir,12
et,son,12
en,me,12
la,neige,12
se,mit,12
la,vitre,12
et,un,12
d,avoir,12
j,allais,12
vers,lui,12
sur,sa,12
un,chemin,12
mais,elle,12
sous,le,12
le,mur,12
la,dernière,12
de,frantz,12
la,femme,12
était,plus,12
augustin,meaulnes,12
pas,même,12
une,seconde,12
se,trouvait,12
le,dernier,12
de,petits,12
à,une,12
temps,de,12
le,premier,12
de,campagne,12
chemin,de,12
des,gens,12
aujourd,hui,12
après,avoir,12
moment,où,12
où,les,12
m,avait,12
un,de,12
je,pense,12
de,bois,11
ses,souliers,11
son,compagnon,11
bras,et,11
une,maison,11
je,les,11
est,un,11
mais,le,11
les,plus,11
un,homme,11
d,école,11
on,a,11
d,eux,11
coup,de,11
les,trois,11
faut,que,11
avec,son,11
la,bête,11
du,matin,11
nous,avons,11
soir,de,11
comme,je,11
ou,trois,11
de,nos,11
début,de,11
la,grille,11
coups,de,11
du,chemin,11
on,lui,11
eut,un,11
venait,de,11
les,épaules,11
une,voiture,11
vous,avez,11
au,grand,11
et,m,11
nous,le,11
l,écolier,11
que,m,11
mit,à,11
je,la,11
du,cours,11
d,eau,11
deux,ou,11
à,voix,11
autre,côté,11
le,feu,11
à,paris,11
de,sapins,11
mon,ami,11
de,faire,11
du,feu,11
et,en,11
d,augustin,11
qui,lui,11
voix,basse,10
où,la,10
la,mère,10
que,pour,10
la,lisière,10
devant,le,10
en,lui,10
comme,nous,10
pas,le,10
bien,qu,10
avait,fait,10
qui,donnait,10
la,bougie,10
à,terre,10
tombée,de,10
en,hâte,10
nous,entendîmes,10
le,bruit,10
lorsque,j,10
est,là,10
comme,les,10
voiture,à,10
ne,se,10
moment,de,10
que,mon,10
au,bord,10
tout,seul,10
y,en,10
de,grand,10
de,tous,10
la,piste,10
des,deux,10
il,eut,10
le,même,10
il,va,10
que,de,10
sa,chambre,10
ce,soir-là,10
en,arrière,10
de,plaisir,10
pas,la,10
avec,précaution,10
pour,se,10
il,en,10
que,ce,10
ce,lieu,10
les,pieds,10
pour,un,10
la,matinée,10
et,sur,10
plus,tard,10
lui,avait,10
ce,sont,10
qui,avaient,10
tout,d,10
une,vieille,10
la,lumière,10
mais,en,10
ne,m,10
de,n,10
mon,oncle,10
vers,moi,10
meaulnes,le,10
en,se,10
par,des,10
air,de,10
que,tu,10
il,fallait,10
on,entendait,10
elle,est,10
par,derrière,10
eût,été,10
les,sapins,10
comme,pour,10
s,approcha,9
je,crois,9
empêcher,de,9
la,lampe,9
l,escalier,9
plus,qu,9
et,demie,9
la,tombée,9
est,moi,9
un,geste,9
pas,d,9
eût,dit,9
mais,nous,9
les,jeunes,9
est,le,9
près,d,9
le,coeur,9
on,n,9
le,poêle,9
celui,qui,9
pour,les,9
donnait,sur,9
en,l,9
comme,des,9
de,même,9
à,quatre,9
tout,un,9
parce,qu,9
la,belle-etoile,9
ma,tante,9
l,une,9
un,beau,9
ne,savait,9
tête,basse,9
heures,du,9
vers,nous,9
sa,mère,9
mois,de,9
les,jambes,9
et,ils,9
et,chaque,9
derrière,le,9
train,de,9
l,allée,9
un,silence,9
quelques,pas,9
il,fut,9
dans,notre,9
avait,une,9
